% ARFF file produced for W4705 HW2 assignment
% Generated: 2007-10-25 05:12:49.968750

@RELATION       source_type

@ATTRIBUTE      text_length     numeric
@ATTRIBUTE      asciihigh_cnt   numeric
@ATTRIBUTE      caps_cnt        numeric
@ATTRIBUTE      BN1_cnt         numeric
@ATTRIBUTE      NWIRE1_cnt      numeric
@ATTRIBUTE      BN2_cnt         numeric
@ATTRIBUTE      NWIRE2_cnt      numeric
@ATTRIBUTE      BN3_cnt         numeric
@ATTRIBUTE      NWIRE3_cnt      numeric
@ATTRIBUTE      class           {BN, NWIRE}


@DATA
228, 0, 16, 14, 1, 0, 0, 0, 0, BN
588, 0, 32, 34, 14, 0, 2, 0, 0, BN
5201, 0, 148, 332, 55, 7, 3, 2, 2, BN
312, 0, 16, 26, 0, 1, 0, 0, 0, BN
249, 0, 9, 12, 2, 0, 0, 0, 0, BN
188, 0, 4, 7, 3, 0, 0, 0, 0, BN
169, 0, 6, 9, 1, 0, 0, 0, 0, BN
259, 0, 11, 9, 2, 0, 1, 0, 0, BN
280, 0, 5, 21, 4, 0, 0, 0, 0, BN
326, 0, 6, 19, 2, 0, 1, 0, 0, BN
158, 0, 4, 6, 2, 0, 0, 0, 0, BN
299, 0, 4, 19, 5, 0, 0, 0, 0, BN
162, 0, 7, 7, 1, 0, 0, 1, 0, BN
476, 0, 22, 31, 6, 1, 0, 1, 0, BN
547, 0, 47, 28, 2, 0, 0, 0, 0, BN
268, 0, 9, 14, 4, 0, 0, 0, 0, BN
188, 0, 3, 13, 2, 1, 1, 0, 0, BN
210, 0, 15, 10, 0, 0, 0, 0, 0, BN
298, 0, 14, 15, 3, 0, 0, 1, 0, BN
3318, 0, 101, 224, 44, 0, 1, 4, 0, BN
4730, 0, 128, 296, 55, 0, 5, 0, 0, BN
342, 0, 27, 22, 0, 2, 1, 1, 0, BN
991, 0, 20, 53, 7, 1, 1, 0, 0, BN
2981, 0, 79, 210, 31, 0, 1, 1, 0, BN
3004, 0, 96, 190, 27, 0, 5, 2, 0, BN
3340, 0, 80, 226, 43, 0, 2, 3, 0, BN
2004, 0, 84, 117, 27, 4, 1, 2, 0, BN
1464, 0, 0, 96, 16, 0, 2, 0, 1, NWIRE
1336, 0, 0, 84, 9, 1, 2, 0, 1, NWIRE
368, 0, 0, 25, 6, 0, 1, 0, 0, NWIRE
3971, 0, 0, 231, 32, 1, 1, 0, 2, NWIRE
744, 0, 0, 46, 15, 1, 2, 0, 0, NWIRE
922, 0, 0, 65, 11, 0, 3, 0, 0, NWIRE
1289, 0, 0, 80, 18, 3, 3, 0, 0, NWIRE
1159, 0, 0, 78, 18, 0, 3, 0, 0, NWIRE
746, 0, 0, 45, 7, 0, 2, 0, 0, NWIRE
1098, 0, 0, 43, 10, 2, 2, 0, 0, NWIRE
323, 0, 0, 25, 3, 0, 1, 0, 1, NWIRE
5072, 32, 0, 276, 44, 2, 10, 0, 1, NWIRE
1633, 0, 0, 101, 20, 7, 4, 0, 1, NWIRE
2644, 0, 0, 173, 30, 1, 7, 0, 1, NWIRE
2751, 0, 0, 148, 30, 2, 3, 0, 1, NWIRE
2062, 0, 0, 141, 35, 4, 5, 0, 0, NWIRE
803, 0, 0, 51, 16, 0, 1, 0, 0, NWIRE
1594, 0, 0, 87, 20, 1, 6, 0, 0, NWIRE
3590, 0, 0, 233, 39, 1, 7, 0, 2, NWIRE
1082, 0, 0, 68, 13, 0, 3, 0, 1, NWIRE
8258, 0, 0, 537, 78, 5, 21, 0, 5, NWIRE
1033, 0, 0, 80, 16, 0, 4, 0, 0, NWIRE
18083, 0, 0, 1273, 187, 5, 26, 2, 5, NWIRE
629, 0, 0, 30, 7, 3, 1, 0, 1, NWIRE
1152, 0, 0, 71, 12, 1, 2, 0, 0, NWIRE
2097, 4, 0, 125, 21, 0, 8, 0, 2, NWIRE
9042, 44, 0, 525, 103, 2, 11, 0, 1, NWIRE
1558, 14, 0, 100, 15, 3, 3, 0, 3, NWIRE
6015, 10, 0, 385, 71, 9, 10, 0, 1, NWIRE
9863, 44, 0, 644, 108, 0, 19, 0, 9, NWIRE
1911, 0, 0, 123, 25, 2, 4, 0, 2, NWIRE
998, 8, 0, 56, 15, 4, 4, 0, 1, NWIRE
4310, 78, 0, 233, 54, 5, 7, 0, 2, NWIRE
1908, 0, 0, 131, 18, 0, 1, 0, 0, NWIRE
1655, 0, 0, 100, 19, 1, 1, 0, 0, NWIRE
2610, 0, 0, 156, 30, 3, 4, 0, 2, NWIRE
1007, 0, 0, 66, 11, 2, 1, 0, 0, NWIRE
972, 0, 0, 74, 8, 0, 1, 0, 1, NWIRE
169, 0, 0, 7, 5, 0, 1, 0, 0, NWIRE
6135, 0, 197, 348, 60, 2, 5, 0, 0, NWIRE
3160, 0, 125, 163, 55, 5, 3, 2, 0, NWIRE
3231, 0, 136, 175, 40, 0, 2, 1, 0, NWIRE
1175, 0, 36, 64, 15, 0, 2, 0, 1, NWIRE
3449, 0, 110, 191, 30, 0, 5, 5, 3, NWIRE
6347, 0, 207, 351, 63, 2, 4, 0, 0, NWIRE
1021, 0, 33, 62, 10, 0, 3, 0, 0, NWIRE
3916, 0, 112, 213, 39, 0, 0, 1, 1, NWIRE
1299, 0, 27, 69, 18, 0, 1, 0, 0, NWIRE
3989, 0, 148, 200, 29, 0, 5, 0, 1, NWIRE
4002, 0, 110, 213, 28, 1, 2, 1, 0, NWIRE
2702, 0, 68, 133, 25, 2, 2, 0, 0, NWIRE
3951, 0, 112, 248, 37, 0, 5, 0, 6, NWIRE
3950, 0, 112, 248, 37, 0, 5, 0, 6, NWIRE
974, 0, 47, 48, 8, 0, 0, 0, 0, NWIRE
2735, 0, 85, 138, 10, 0, 0, 0, 3, NWIRE
3989, 0, 148, 200, 29, 0, 5, 0, 1, NWIRE
2345, 0, 85, 120, 18, 1, 2, 1, 0, NWIRE
1180, 0, 0, 64, 13, 1, 1, 0, 0, NWIRE
258, 0, 0, 9, 2, 0, 0, 0, 0, NWIRE
784, 0, 0, 45, 7, 0, 1, 0, 0, NWIRE
859, 0, 0, 67, 7, 0, 2, 0, 0, NWIRE
1322, 0, 0, 74, 9, 0, 2, 0, 1, NWIRE
1054, 0, 0, 59, 15, 1, 2, 0, 0, NWIRE
1130, 0, 2, 55, 10, 1, 2, 0, 0, NWIRE
260, 0, 0, 12, 6, 0, 0, 0, 0, NWIRE
872, 0, 0, 47, 15, 0, 1, 0, 0, NWIRE
872, 0, 0, 47, 15, 0, 1, 0, 0, NWIRE
1102, 0, 0, 45, 18, 0, 4, 0, 2, NWIRE
2000, 0, 0, 116, 22, 3, 1, 0, 0, NWIRE
1468, 0, 0, 77, 25, 2, 5, 0, 2, NWIRE
964, 0, 0, 55, 7, 0, 2, 0, 2, NWIRE
883, 0, 0, 49, 12, 0, 0, 0, 1, NWIRE
374, 0, 0, 24, 10, 0, 2, 0, 0, NWIRE
2066, 0, 0, 120, 17, 0, 2, 0, 0, NWIRE
522, 0, 0, 31, 7, 0, 3, 0, 1, NWIRE
2197, 0, 0, 135, 22, 0, 1, 0, 1, NWIRE
140, 0, 0, 10, 0, 0, 0, 0, 0, NWIRE
1651, 0, 0, 92, 23, 1, 5, 0, 1, NWIRE
767, 0, 0, 50, 15, 0, 2, 0, 0, NWIRE
2365, 0, 0, 140, 31, 1, 3, 1, 0, NWIRE
94, 0, 0, 2, 3, 0, 0, 0, 0, NWIRE
1950, 0, 3, 115, 34, 0, 7, 0, 2, NWIRE
2183, 0, 0, 147, 17, 0, 1, 0, 0, NWIRE
852, 0, 0, 51, 12, 0, 0, 0, 1, NWIRE
1884, 0, 0, 122, 34, 1, 6, 0, 2, NWIRE
966, 0, 0, 45, 17, 0, 4, 0, 3, NWIRE
2180, 0, 0, 130, 25, 2, 2, 0, 0, NWIRE
7447, 0, 0, 472, 72, 4, 10, 0, 5, NWIRE
9140, 0, 0, 554, 111, 6, 12, 0, 1, NWIRE
3907, 0, 0, 230, 45, 1, 3, 0, 2, NWIRE
2490, 0, 0, 144, 33, 4, 2, 0, 1, NWIRE
6929, 0, 0, 476, 65, 1, 12, 0, 3, NWIRE
4827, 0, 0, 317, 71, 4, 11, 0, 6, NWIRE
622, 0, 0, 40, 11, 1, 2, 0, 0, NWIRE
4874, 0, 0, 284, 49, 2, 1, 0, 0, NWIRE
5176, 0, 0, 316, 59, 0, 4, 0, 3, NWIRE
2692, 0, 0, 176, 31, 1, 2, 0, 0, NWIRE
4081, 0, 0, 301, 37, 2, 4, 0, 1, NWIRE
546, 0, 0, 32, 14, 1, 3, 0, 1, NWIRE
530, 0, 0, 37, 11, 0, 0, 0, 0, NWIRE
5388, 0, 0, 329, 60, 2, 6, 0, 1, NWIRE
8041, 0, 0, 582, 94, 0, 7, 0, 2, NWIRE
6650, 0, 0, 460, 75, 4, 6, 1, 2, NWIRE
5798, 0, 0, 335, 75, 2, 3, 0, 2, NWIRE
4379, 0, 0, 240, 53, 1, 1, 0, 3, NWIRE
8075, 0, 0, 532, 85, 3, 6, 0, 4, NWIRE
6339, 0, 0, 394, 61, 1, 6, 0, 1, NWIRE
3923, 0, 0, 274, 53, 4, 4, 0, 1, NWIRE
6310, 2, 0, 364, 106, 4, 8, 0, 5, NWIRE
9954, 0, 0, 646, 100, 8, 8, 0, 3, NWIRE
1362, 12, 34, 82, 13, 0, 2, 0, 0, NWIRE
2499, 18, 22, 121, 31, 0, 1, 0, 0, NWIRE
2967, 52, 37, 143, 33, 0, 0, 0, 0, NWIRE
4448, 20, 140, 207, 36, 0, 1, 0, 0, NWIRE
2976, 24, 24, 130, 17, 0, 0, 0, 0, NWIRE
2224, 4, 61, 120, 15, 2, 0, 0, 0, NWIRE
2722, 4, 35, 107, 28, 0, 1, 0, 0, NWIRE
1312, 122, 37, 44, 12, 0, 1, 0, 0, NWIRE
2092, 36, 29, 75, 21, 0, 1, 0, 0, NWIRE
4195, 90, 61, 207, 54, 0, 2, 0, 0, NWIRE
3927, 20, 42, 234, 35, 0, 1, 0, 0, NWIRE
1735, 20, 29, 62, 9, 0, 0, 0, 0, NWIRE
1349, 24, 19, 71, 15, 0, 0, 0, 0, NWIRE
5150, 26, 97, 263, 40, 0, 1, 0, 1, NWIRE
1391, 14, 40, 48, 18, 0, 1, 0, 0, NWIRE
1653, 46, 29, 82, 12, 0, 0, 0, 0, NWIRE
2466, 66, 16, 112, 18, 0, 0, 0, 0, NWIRE
3067, 40, 33, 142, 34, 0, 0, 0, 0, NWIRE
1542, 38, 34, 69, 11, 0, 0, 0, 0, NWIRE
946, 6, 36, 50, 3, 0, 1, 0, 0, NWIRE
2570, 60, 70, 140, 28, 0, 1, 0, 0, NWIRE
2113, 36, 54, 101, 18, 0, 0, 0, 0, NWIRE
2016, 16, 40, 89, 28, 0, 0, 0, 0, NWIRE
1537, 48, 44, 78, 26, 1, 0, 0, 0, NWIRE
1894, 86, 27, 77, 13, 0, 1, 0, 0, NWIRE
1476, 20, 38, 72, 8, 0, 0, 0, 0, NWIRE
2062, 8, 40, 90, 17, 0, 0, 0, 0, NWIRE
985, 24, 10, 56, 12, 1, 0, 0, 0, NWIRE
737, 0, 23, 26, 12, 0, 0, 0, 0, NWIRE
1875, 14, 23, 69, 26, 0, 0, 0, 0, NWIRE
452, 4, 19, 18, 3, 0, 0, 0, 0, NWIRE
2384, 48, 43, 68, 29, 0, 1, 0, 0, NWIRE
2539, 38, 46, 140, 33, 1, 0, 0, 0, NWIRE
3082, 126, 90, 147, 31, 0, 0, 0, 0, NWIRE
4697, 176, 37, 252, 35, 0, 1, 0, 0, NWIRE
3213, 128, 19, 183, 23, 1, 3, 0, 0, NWIRE
3115, 32, 42, 159, 18, 0, 0, 0, 0, NWIRE
958, 8, 9, 54, 3, 0, 0, 0, 0, NWIRE
5529, 150, 180, 221, 53, 2, 0, 0, 0, NWIRE
4072, 32, 35, 203, 51, 0, 2, 0, 0, NWIRE
3810, 48, 71, 197, 36, 0, 0, 0, 0, NWIRE
3056, 22, 48, 131, 29, 0, 1, 0, 0, NWIRE
6719, 16, 81, 307, 61, 0, 1, 0, 0, NWIRE
4671, 30, 45, 211, 46, 0, 1, 0, 0, NWIRE
3693, 26, 99, 175, 33, 0, 0, 0, 0, NWIRE
4916, 66, 76, 274, 51, 0, 0, 0, 0, NWIRE
3189, 30, 117, 141, 43, 0, 0, 0, 0, NWIRE
4720, 102, 53, 182, 50, 0, 1, 0, 0, NWIRE
1157, 54, 41, 45, 17, 0, 0, 0, 0, NWIRE
7858, 0, 0, 522, 100, 4, 10, 0, 4, NWIRE
16624, 2, 0, 1165, 157, 6, 24, 0, 5, NWIRE
7674, 0, 0, 528, 106, 1, 6, 0, 1, NWIRE
6057, 0, 0, 404, 87, 0, 6, 1, 1, NWIRE
1488, 0, 3, 85, 31, 1, 1, 0, 2, NWIRE
4368, 0, 0, 280, 51, 2, 4, 1, 1, NWIRE
2190, 0, 0, 148, 25, 0, 3, 0, 0, NWIRE
1412, 0, 0, 74, 21, 0, 1, 0, 0, NWIRE
953, 0, 0, 51, 6, 2, 1, 0, 1, NWIRE
935, 0, 0, 55, 8, 0, 0, 0, 0, NWIRE
665, 0, 0, 29, 11, 1, 0, 0, 0, NWIRE
440, 0, 0, 26, 5, 0, 1, 0, 0, NWIRE
710, 0, 0, 44, 4, 0, 0, 0, 0, NWIRE
5734, 0, 0, 335, 41, 2, 2, 0, 2, NWIRE
4531, 0, 0, 285, 59, 3, 3, 0, 3, NWIRE
2744, 0, 0, 169, 41, 0, 12, 0, 5, NWIRE
2016, 0, 0, 116, 26, 0, 3, 0, 1, NWIRE
5768, 0, 0, 333, 83, 2, 12, 0, 4, NWIRE
1528, 0, 1, 80, 11, 0, 3, 0, 0, NWIRE
3785, 0, 0, 266, 56, 1, 6, 0, 1, NWIRE
3146, 0, 0, 183, 27, 0, 3, 0, 2, NWIRE
2499, 0, 0, 175, 27, 2, 3, 0, 0, NWIRE
1376, 0, 0, 73, 13, 1, 1, 0, 1, NWIRE
1498, 0, 0, 91, 18, 0, 1, 0, 0, NWIRE
1303, 0, 0, 69, 18, 1, 1, 0, 2, NWIRE
1064, 0, 0, 51, 9, 0, 1, 0, 1, NWIRE
654, 0, 0, 45, 15, 0, 0, 0, 0, NWIRE
2766, 0, 0, 151, 39, 0, 1, 0, 2, NWIRE
914, 0, 0, 51, 10, 1, 1, 0, 1, NWIRE
610, 0, 0, 38, 17, 0, 1, 0, 0, NWIRE
2144, 0, 0, 165, 35, 0, 5, 0, 1, NWIRE
1495, 0, 0, 95, 14, 0, 1, 0, 0, NWIRE
5413, 0, 0, 296, 51, 0, 8, 0, 4, NWIRE
511, 0, 0, 31, 6, 0, 1, 0, 0, NWIRE
2018, 0, 0, 105, 32, 1, 3, 0, 3, NWIRE
5404, 0, 0, 323, 51, 6, 6, 0, 2, NWIRE
1526, 0, 0, 98, 17, 1, 7, 0, 2, NWIRE
4222, 0, 0, 239, 57, 1, 7, 1, 2, NWIRE
593, 0, 0, 30, 8, 0, 0, 0, 1, NWIRE
875, 0, 0, 62, 7, 1, 1, 0, 3, NWIRE
42, 8, 0, 1, 0, 0, 0, 0, 0, NWIRE
2479, 68, 42, 135, 28, 0, 0, 0, 0, NWIRE
1801, 40, 38, 76, 10, 0, 0, 0, 0, NWIRE
884, 8, 9, 47, 5, 0, 0, 0, 0, NWIRE
624, 34, 13, 25, 2, 1, 0, 0, 0, NWIRE
716, 0, 19, 24, 11, 0, 1, 0, 0, NWIRE
65, 0, 2, 1, 3, 0, 0, 0, 0, NWIRE
964, 6, 24, 57, 10, 1, 0, 1, 0, NWIRE
619, 0, 20, 33, 6, 0, 0, 0, 0, NWIRE
806, 10, 38, 41, 7, 0, 0, 0, 0, NWIRE
778, 50, 17, 47, 6, 0, 0, 0, 0, NWIRE
813, 20, 37, 46, 11, 0, 0, 0, 0, NWIRE
855, 4, 33, 46, 9, 0, 0, 0, 0, NWIRE
634, 4, 11, 27, 2, 0, 0, 0, 0, NWIRE
700, 32, 11, 32, 13, 0, 0, 0, 0, NWIRE
521, 12, 19, 20, 5, 0, 0, 0, 0, NWIRE
641, 0, 14, 28, 4, 0, 2, 0, 0, NWIRE
744, 0, 16, 37, 9, 0, 0, 0, 0, NWIRE
625, 16, 12, 34, 5, 0, 0, 0, 0, NWIRE
706, 8, 21, 30, 8, 0, 1, 0, 0, NWIRE
709, 0, 23, 31, 2, 0, 0, 0, 0, NWIRE
597, 10, 9, 25, 2, 0, 0, 0, 0, NWIRE
670, 8, 14, 42, 13, 0, 0, 0, 0, NWIRE
4756, 54, 75, 199, 59, 1, 1, 1, 0, NWIRE
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
2560, 0, 0, 154, 30, 3, 3, 2, 0, NWIRE
1720, 0, 0, 120, 20, 1, 1, 0, 1, NWIRE
1359, 0, 0, 55, 12, 0, 0, 0, 0, NWIRE
761, 0, 0, 44, 4, 2, 0, 0, 0, NWIRE
286, 0, 0, 14, 3, 0, 0, 0, 0, NWIRE
1851, 0, 0, 87, 14, 0, 0, 0, 0, NWIRE
1716, 0, 0, 98, 22, 2, 0, 1, 1, NWIRE
207, 0, 0, 6, 4, 0, 0, 0, 0, NWIRE
583, 0, 0, 39, 7, 0, 0, 0, 0, NWIRE
671, 0, 1, 39, 5, 0, 0, 0, 0, NWIRE
2314, 0, 0, 130, 36, 1, 2, 0, 1, NWIRE
514, 0, 0, 36, 4, 0, 1, 0, 0, NWIRE
1381, 0, 0, 73, 19, 0, 0, 0, 2, NWIRE
2114, 0, 0, 115, 22, 1, 2, 0, 0, NWIRE
1779, 0, 0, 89, 24, 0, 3, 0, 2, NWIRE
3092, 0, 0, 192, 40, 1, 0, 0, 2, NWIRE
2967, 0, 0, 223, 28, 2, 5, 0, 1, NWIRE
1098, 0, 0, 63, 10, 1, 2, 0, 3, NWIRE
1002, 0, 0, 58, 7, 0, 3, 0, 0, NWIRE
903, 0, 0, 54, 11, 0, 2, 0, 0, NWIRE
5206, 0, 0, 327, 61, 2, 8, 0, 1, NWIRE
226, 0, 0, 15, 2, 0, 0, 0, 0, NWIRE
1626, 0, 0, 104, 14, 2, 2, 0, 2, NWIRE
1677, 0, 0, 86, 28, 1, 4, 0, 2, NWIRE
2800, 0, 0, 137, 29, 1, 7, 0, 1, NWIRE
198, 0, 0, 10, 2, 0, 0, 0, 0, NWIRE
200, 0, 0, 4, 4, 0, 0, 0, 0, NWIRE
3406, 0, 0, 201, 38, 4, 3, 1, 0, NWIRE
513, 0, 0, 20, 3, 0, 0, 0, 0, NWIRE
3982, 0, 0, 230, 44, 5, 9, 0, 2, NWIRE
1065, 0, 0, 62, 10, 0, 0, 0, 1, NWIRE
1541, 0, 0, 64, 14, 2, 1, 0, 1, NWIRE
5072, 0, 2, 296, 73, 0, 5, 0, 3, NWIRE
936, 0, 0, 68, 11, 2, 0, 0, 1, NWIRE
2819, 0, 0, 169, 29, 2, 6, 0, 1, NWIRE
1206, 0, 0, 51, 10, 1, 0, 0, 1, NWIRE
1012, 0, 0, 58, 20, 0, 6, 0, 0, NWIRE
776, 0, 0, 42, 4, 0, 0, 0, 0, NWIRE
1314, 0, 0, 93, 19, 2, 2, 0, 1, NWIRE
2206, 0, 0, 155, 31, 2, 2, 0, 0, NWIRE
1618, 0, 0, 91, 16, 0, 2, 0, 0, NWIRE
5443, 0, 1, 292, 63, 2, 6, 0, 7, NWIRE
374, 0, 0, 34, 3, 0, 0, 0, 0, BN
617, 0, 0, 39, 5, 1, 1, 0, 1, BN
712, 0, 0, 38, 6, 1, 1, 0, 0, BN
1742, 0, 0, 118, 18, 2, 2, 1, 0, BN
608, 0, 0, 30, 4, 0, 0, 0, 0, BN
525, 0, 0, 34, 4, 0, 0, 0, 0, BN
897, 0, 0, 56, 5, 1, 1, 0, 0, BN
448, 0, 0, 34, 4, 0, 0, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
1703, 0, 0, 121, 14, 1, 1, 0, 0, BN
680, 0, 0, 39, 5, 2, 0, 0, 0, BN
404, 0, 0, 26, 2, 0, 0, 0, 0, BN
927, 0, 0, 55, 6, 0, 0, 0, 0, BN
571, 0, 0, 31, 5, 0, 0, 0, 0, BN
797, 0, 0, 59, 10, 0, 0, 0, 0, BN
1514, 0, 0, 105, 16, 0, 2, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
457, 0, 0, 24, 10, 0, 1, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
1632, 0, 0, 100, 16, 1, 2, 0, 0, BN
1256, 0, 0, 86, 18, 1, 3, 0, 0, BN
1359, 0, 0, 88, 20, 0, 1, 0, 0, BN
124, 0, 0, 9, 2, 0, 0, 0, 0, BN
715, 0, 0, 52, 8, 0, 0, 0, 0, BN
265, 0, 0, 21, 1, 0, 0, 0, 0, BN
701, 0, 0, 45, 5, 0, 1, 0, 1, BN
3441, 0, 0, 200, 43, 1, 4, 0, 2, BN
3706, 0, 0, 219, 41, 0, 2, 0, 1, BN
5400, 0, 0, 321, 45, 3, 4, 2, 2, BN
4304, 0, 0, 289, 34, 1, 1, 0, 0, BN
2090, 0, 0, 146, 20, 1, 1, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
2183, 8, 39, 135, 31, 0, 2, 0, 0, NWIRE
2357, 28, 35, 136, 27, 1, 0, 0, 0, NWIRE
1886, 8, 31, 99, 17, 0, 0, 0, 0, NWIRE
1700, 12, 20, 98, 12, 0, 0, 0, 0, NWIRE
1513, 16, 17, 89, 19, 0, 0, 0, 0, NWIRE
1558, 2, 30, 91, 16, 0, 0, 0, 0, NWIRE
1672, 16, 11, 83, 13, 1, 0, 0, 0, NWIRE
2107, 32, 26, 129, 24, 0, 1, 0, 0, NWIRE
3006, 28, 66, 152, 34, 0, 2, 0, 0, NWIRE
1647, 16, 21, 88, 30, 0, 1, 0, 0, NWIRE
1200, 22, 5, 53, 16, 0, 0, 0, 0, NWIRE
1179, 10, 4, 64, 8, 0, 0, 0, 0, NWIRE
1843, 54, 12, 79, 15, 0, 1, 0, 0, NWIRE
1341, 8, 15, 62, 17, 0, 2, 0, 0, NWIRE
1324, 30, 6, 75, 18, 0, 0, 0, 0, NWIRE
1667, 34, 15, 72, 39, 0, 1, 0, 0, NWIRE
477, 12, 3, 31, 5, 0, 0, 0, 0, NWIRE
1158, 14, 22, 49, 10, 0, 0, 0, 0, NWIRE
927, 4, 17, 37, 14, 0, 0, 0, 0, NWIRE
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
7729, 0, 0, 491, 96, 6, 12, 0, 4, NWIRE
4080, 0, 0, 256, 43, 6, 4, 0, 0, NWIRE
1317, 0, 0, 73, 13, 0, 1, 0, 2, NWIRE
3201, 0, 0, 186, 29, 2, 1, 0, 3, NWIRE
1826, 0, 0, 112, 22, 0, 4, 0, 0, NWIRE
1684, 0, 0, 97, 18, 0, 0, 0, 0, NWIRE
924, 0, 0, 49, 10, 1, 0, 0, 1, NWIRE
1278, 0, 0, 80, 11, 0, 0, 0, 0, NWIRE
2948, 0, 0, 186, 38, 0, 2, 0, 1, NWIRE
1963, 0, 0, 126, 20, 3, 3, 0, 2, NWIRE
2015, 0, 0, 109, 15, 1, 3, 0, 1, NWIRE
888, 0, 0, 58, 5, 0, 1, 0, 0, NWIRE
1016, 0, 0, 44, 13, 0, 0, 0, 1, NWIRE
1410, 0, 0, 72, 10, 0, 0, 0, 3, NWIRE
2849, 0, 0, 175, 26, 1, 0, 0, 1, NWIRE
1605, 0, 0, 110, 12, 0, 1, 0, 0, NWIRE
3443, 0, 0, 211, 34, 2, 1, 0, 1, NWIRE
2526, 0, 0, 142, 34, 0, 1, 0, 0, NWIRE
1530, 0, 0, 88, 22, 1, 3, 0, 0, NWIRE
803, 0, 0, 40, 7, 0, 1, 0, 1, NWIRE
932, 0, 0, 54, 11, 0, 0, 0, 0, NWIRE
485, 0, 0, 39, 1, 0, 0, 0, 0, NWIRE
1025, 0, 0, 55, 10, 0, 0, 0, 0, NWIRE
730, 0, 0, 32, 9, 1, 0, 0, 0, NWIRE
629, 0, 0, 42, 1, 0, 0, 0, 1, NWIRE
3785, 0, 0, 266, 56, 1, 6, 0, 1, NWIRE
13051, 0, 0, 833, 167, 5, 17, 1, 3, NWIRE
1309, 0, 0, 85, 20, 0, 6, 0, 2, NWIRE
4984, 0, 0, 321, 59, 1, 5, 0, 3, NWIRE
1364, 0, 0, 82, 15, 2, 1, 0, 1, NWIRE
2555, 0, 0, 164, 28, 0, 6, 1, 2, NWIRE
1114, 0, 0, 85, 13, 0, 3, 0, 2, NWIRE
798, 0, 0, 39, 9, 2, 1, 0, 2, NWIRE
2165, 0, 0, 131, 28, 0, 4, 0, 1, NWIRE
699, 0, 0, 52, 8, 3, 3, 0, 0, NWIRE
667, 0, 0, 42, 16, 0, 1, 0, 0, NWIRE
1262, 0, 0, 78, 29, 0, 4, 0, 2, NWIRE
1107, 0, 0, 75, 15, 1, 3, 0, 0, NWIRE
1542, 0, 0, 101, 19, 2, 4, 0, 1, NWIRE
4324, 0, 0, 220, 39, 5, 6, 0, 2, NWIRE
1194, 0, 0, 74, 18, 1, 4, 0, 4, NWIRE
513, 0, 0, 33, 8, 0, 0, 0, 0, NWIRE
2210, 0, 0, 120, 25, 0, 1, 0, 1, NWIRE
1971, 0, 0, 134, 29, 1, 3, 0, 2, NWIRE
1056, 0, 0, 54, 6, 0, 0, 0, 0, NWIRE
2961, 0, 0, 173, 37, 2, 2, 0, 2, NWIRE
1637, 0, 0, 83, 10, 0, 1, 0, 0, NWIRE
1752, 0, 0, 100, 25, 1, 2, 0, 1, NWIRE
918, 0, 0, 46, 6, 0, 0, 0, 2, NWIRE
864, 0, 0, 33, 8, 0, 0, 0, 0, NWIRE
2628, 0, 0, 183, 31, 2, 7, 0, 4, NWIRE
1299, 0, 0, 77, 12, 1, 1, 0, 0, NWIRE
1210, 0, 0, 64, 13, 0, 0, 0, 0, NWIRE
7893, 0, 0, 469, 113, 9, 13, 0, 5, NWIRE
3454, 32, 64, 149, 33, 0, 0, 0, 0, NWIRE
1950, 12, 22, 113, 32, 0, 2, 0, 0, NWIRE
3115, 32, 42, 159, 18, 0, 0, 0, 0, NWIRE
3545, 34, 36, 194, 25, 0, 0, 0, 0, NWIRE
13024, 154, 289, 555, 134, 1, 7, 0, 0, NWIRE
3623, 20, 34, 167, 44, 0, 0, 0, 0, NWIRE
12014, 100, 146, 609, 127, 6, 2, 0, 0, NWIRE
7185, 58, 64, 390, 73, 0, 2, 0, 0, NWIRE
3693, 26, 99, 175, 33, 0, 0, 0, 0, NWIRE
4697, 176, 37, 252, 35, 0, 1, 0, 0, NWIRE
5234, 144, 62, 241, 65, 0, 2, 0, 0, NWIRE
1286, 8, 34, 61, 6, 0, 1, 0, 0, NWIRE
2756, 28, 58, 133, 38, 0, 3, 0, 0, NWIRE
1143, 30, 17, 63, 17, 0, 3, 0, 0, NWIRE
831, 28, 31, 40, 6, 0, 0, 0, 0, NWIRE
3633, 110, 58, 178, 67, 0, 3, 0, 0, NWIRE
1082, 12, 15, 51, 14, 0, 0, 0, 0, NWIRE
762, 66, 13, 25, 10, 0, 0, 0, 0, NWIRE
4002, 54, 82, 184, 48, 0, 4, 0, 0, NWIRE
2033, 12, 46, 91, 26, 0, 4, 0, 0, NWIRE
1464, 30, 12, 70, 18, 0, 0, 0, 0, NWIRE
10403, 102, 95, 546, 122, 0, 3, 0, 0, NWIRE
1152, 28, 34, 64, 5, 0, 1, 0, 0, NWIRE
3623, 20, 34, 167, 44, 0, 0, 0, 0, NWIRE
